full_name	category	status	action	starred_at	pushed_at	archived	stars	language	topics	description
siddharthvaddem/openscreen	桌面 / 行動 App	1. 已封存	REVIEW	2026-04-03	2026-06-17	True	39905	TypeScript	electron|open-source|pixijs|screen-capture|screen-recorder	Create stunning demos for free. Open-source, no subscriptions, no watermarks, and free for commercial use. An alternative to Screen Studio.
mustafaaljadery/lightning-whisper-mlx	其他 / 未分類	4. 停更 (2-3年)	UNSTAR	2025-10-26	2024-05-08	False	958	Python		An extremely fast implementation of whisper optimized for Apple Silicon using MLX. 
vanna-ai/vanna	AI / LLM / Agent	1. 已封存	REVIEW	2025-07-16	2026-02-02	True	23816	Python	agent|ai|data-visualization|database|llm|rag|sql|text-to-sql	🤖 Chat with your SQL database 📊. Accurate Text-to-SQL Generation via LLMs using Agentic Retrieval 🔄.
FlowiseAI/Flowise	AI / LLM / Agent	1. 已封存	REVIEW	2024-12-25	2026-08-13	True	55425	TypeScript	agentic-ai|agentic-workflow|agents|artificial-intelligence|chatbot|chatgpt|javascript|langchain|large-language-models|low-code|multiagent-systems|no-code|openai|rag|react|typescript|workflow-automation	Build AI Agents, Visually
bytedance/monolith	其他 / 未分類	1. 已封存	UNSTAR	2024-12-22	2025-10-13	True	9292	Python		A Lightweight Recommendation System
SmartSchoolAI/ai-to-pptx	AI / LLM / Agent	1. 已封存	UNSTAR	2024-12-17	2026-06-12	True	1460	TypeScript	ai-to-pptx|aippt|chatgpt|chatgpt-pptx|chatgpt-to-|chatgpt-to-pptx|pptx|slides|vueppt	前端后端同时开源。 Ai-to-pptx是一个使用AI技术(DeepSeek)制作PPTX的助手，支持在线生成和导出PPTX。 主要功能: 1 使用DeepSeek等大语言模型来生成大纲 2 生成PPTX的时候可以选择不同的模板 3 支持导出PPTX
MikimotoH/furigana	其他 / 未分類	4. 停更 (2-3年)	UNSTAR	2024-11-25	2023-09-22	False	104	Python		Generate furigana from Japanese
rahulnyk/knowledge_graph_maker	其他 / 未分類	4. 停更 (2-3年)	UNSTAR	2024-09-13	2024-08-15	False	261	Python		
Team-xManager/xManager	桌面 / 行動 App	1. 已封存	UNSTAR	2024-09-11	2025-08-15	True	12165	Java	android|java	Ad-Free, New Features & Freedom
alpkeskin/mosint	安全 / 隱私	4. 停更 (2-3年)	REVIEW	2024-07-27	2024-02-02	False	6013	Go	automation|data-breach|email|email-checker|go|hacking|information-gathering|osint|osint-tool|pentest|pwn|python-hacking|social-media|socmint|verification-service	An automated e-mail OSINT tool
lllyasviel/Omost	媒體 / 影音處理	4. 停更 (2-3年)	REVIEW	2024-06-03	2024-07-26	False	7609	Python		Your image is almost there!
techinasia/bt-flutter	桌面 / 行動 App	4. 停更 (2-3年)	UNSTAR	2024-05-23	2024-05-23	False	1	Dart		The source code of BT's Flutter app, updated monthly
Brackeys/first-game-in-godot	遊戲開發	4. 停更 (2-3年)	UNSTAR	2024-05-02	2024-05-09	False	603	GDScript		Project files for our video on making your first game in Godot.
meta-llama/llama3	AI / LLM / Agent	1. 已封存	REVIEW	2024-04-21	2025-01-26	True	29234	Python		The official Meta Llama 3 GitHub site
dream-num/Luckysheet	前端 / UI	1. 已封存	UNSTAR	2024-04-21	2025-08-19	True	16643	JavaScript	canvas|chart|conditional-formatting|data-table|excel|formula|google-sheets|google-spreadsheet|javascript|office|pivot-tables|sparkline|spreadsheet|web-based|xlsx	Luckysheet upgraded to Univer
nashsu/FreeAskInternet	AI / LLM / Agent	4. 停更 (2-3年)	REVIEW	2024-04-10	2024-04-18	False	8747	Python		FreeAskInternet is a completely free, PRIVATE and LOCALLY running search aggregator & answer generate using MULTI LLMs, without GPU needed. The user can ask a question and the system will  make a multi engine search and combine the search result to LLM and generate the answer based on search results. It's all FREE to use. 
nilsherzig/LLocalSearch	AI / LLM / Agent	1. 已封存	UNSTAR	2024-04-06	2026-03-24	True	5945	Go	llm|search-engine	LLocalSearch is a completely locally running search aggregator using LLM Agents. The user can ask a question and the system will use a chain of LLMs to find the answer. The user can see the progress of the agents and the final answer. No OpenAI or Google API keys are needed.
fudan-generative-vision/champ	前端 / UI	4. 停更 (2-3年)	UNSTAR	2024-03-29	2024-07-10	False	4263	Python	human-animation|image-animatioln|video-generation	[ECCV 2024] Champ: Controllable and Consistent Human Image Animation with 3D Parametric Guidance
langchain-ai/langchain-extract	AI / LLM / Agent	1. 已封存	UNSTAR	2024-03-28	2026-02-10	True	1194	Rich Text Format	extraction|extraction-data|fastapi|langchain|langchain-python|llm|llms	🦜⛏️ Did you say you like data?
semanser/codel	AI / LLM / Agent	4. 停更 (2-3年)	UNSTAR	2024-03-27	2024-04-29	False	2476	TypeScript	agent|ai|autonomous-agents|bot|devin|llama2|llms|ollama|openai	✨ Fully autonomous AI Agent that can perform complicated tasks and projects using terminal, browser, and editor.
openinterpreter/aifs	其他 / 未分類	4. 停更 (2-3年)	UNSTAR	2024-03-25	2024-07-07	False	463	Python		Local semantic search. Stupidly simple.
lewis-007/MediaCrawler	其他 / 未分類	4. 停更 (2-3年)	UNSTAR	2024-03-23	2024-03-11	False	508	Python		
xai-org/grok-1	其他 / 未分類	4. 停更 (2-3年)	REVIEW	2024-03-19	2024-08-30	False	52217	Python		Grok open release
openai/grok	其他 / 未分類	1. 已封存	UNSTAR	2024-03-19	2024-03-19	True	4260	Python		
cbh123/stickerbaker	AI / LLM / Agent	4. 停更 (2-3年)	UNSTAR	2024-02-29	2024-05-14	False	1100	Elixir		Let's bake some (AI) stickers!
all-in-aigc/sorafm	AI / LLM / Agent	4. 停更 (2-3年)	UNSTAR	2024-02-23	2024-08-15	False	1153	TypeScript	ai-video-generator|ai-video-showcase|sora	Sora AI Video Generator by Sora.FM
SoraWebui/FakeSoraAPI	AI / LLM / Agent	4. 停更 (2-3年)	UNSTAR	2024-02-23	2024-02-24	False	259	TypeScript	api|openai|sora	Fake Sora API is an open-source project that simulates the yet-to-be-released OpenAI Sora API, enabling developers to prepare and test their applications in advance.
levihsu/OOTDiffusion	其他 / 未分類	4. 停更 (2-3年)	REVIEW	2024-02-23	2024-05-13	False	6586	Python		"[AAAI 2025] Official implementation of ""OOTDiffusion: Outfitting Fusion based Latent Diffusion for Controllable Virtual Try-on"""
reorproject/reor	AI / LLM / Agent	1. 已封存	UNSTAR	2024-02-16	2025-05-13	True	8567	JavaScript	ai|lancedb|llama|llamacpp|local-first|markdown|note-taking|ollama|pkm|rag|second-brain|vector-database	Private & local AI personal knowledge management app for high entropy people.
Stability-AI/StableCascade	機器學習 / 資料科學	4. 停更 (2-3年)	REVIEW	2024-02-16	2024-07-25	False	6537	Jupyter Notebook		Official Code for Stable Cascade
rocketseat-education/nlw-expert-nodejs	後端 / API / 框架	4. 停更 (2-3年)	UNSTAR	2024-02-10	2024-02-14	False	214	TypeScript		Real-time voting system built with Node.js
leptonai/search_with_lepton	AI / LLM / Agent	1. 已封存	UNSTAR	2024-01-28	2025-12-02	True	8064	TypeScript	ai|ai-applications|leptonai|llm	Building a quick conversation-based search demo with Lepton AI.
LiheYoung/Depth-Anything	其他 / 未分類	4. 停更 (2-3年)	REVIEW	2024-01-25	2024-07-17	False	8202	Python	depth-estimation|image-synthesis|metric-depth-estimation|monocular-depth-estimation	[CVPR 2024] Depth Anything: Unleashing the Power of Large-Scale Unlabeled Data. Foundation Model for Monocular Depth Estimation
instantX-research/InstantID	其他 / 未分類	4. 停更 (2-3年)	REVIEW	2024-01-25	2024-07-18	False	11988	Python		InstantID: Zero-shot Identity-Preserving Generation in Seconds 🔥
